question,meta,answer
Can an organisation carry on with business during an inspection by the PDPC?,"Organisations, Enforcement
","This will depend on the circumstances of the case. The PDPC may require the business or part thereof to cease when the inspection is carried out, if it feels that the continuation of business or part thereof is likely to obstruct, hinder or delay the investigations. The PDPC may also cordon off part of the premises or seal cabinets, etc, to prevent tampering of the documents stored within."
Will the PDPC take away any original documents during an on-site investigation?,"Organisations, Enforcement
","When entry into an organisation's premises is done with a warrant, the PDPC is entitled to take away original documents if it appears necessary to preserve or prevent interference with the documents, or when it is not reasonably practicable to take copies of the document on the premises. However, the organisation may request for a copy of the document and such a copy will be provided as soon as practicable."
What can an organisation do if it does not have any of the documents or information which the PDPC has requested for it to produce during an investigation?,"Organisations, Enforcement
","The organisation should immediately inform the PDPC if it is unable to produce any documents or information, and state to the best of its knowledge and belief, where such documents or information may be found. The organisation must also inform the PDPC of the reasons for not being able to produce any documents or information, where appropriate."
Can the PDPC enter an organisation's premises without a warrant?,"Organisations, Enforcement
","The PDPC may also effect entry into any premises without a warrant and without notice, if a PDPC inspector has reasonable grounds for suspecting that the premises are, or have been, occupied by an organisation which is being investigated in relation to a contravention of the PDPA (and the inspector has taken reasonable practicable steps to give notice but has not been able to). An inspector of the PDPC or person assisting the inspector entering the premises may:take with him such equipment as appears to him to be necessary;require any person on the premises -  to produce any document which he considersrelates  to any matter relevant to the investigation; andif the document is produced, to provide anexplanation of it;require any person to state, to the best of the person's knowledge and belief, where any such document is to be found;take copies of, or extracts from, any document which is produced;require any information which is stored in any electronic form and is accessible from the premises and which he considers relates to any matter relevant to the investigation, to be produced in a form - in which it can be taken away; andin which it is visible and legibletake any step which appears to be necessary for the purpose of preserving or preventing interference with any document which he considers relates to any matter relevant to the investigation."
Can an organisation request for legal advice before the PDPC enters its premises?,"Organisations, Enforcement
","If the PDPC enters into an organisation's premises, the organisation may request for its legal advisor to be present. The PDPC will allow a reasonable time for the organisation's legal advisor to arrive before entering the premises, provided that it is reasonable in the circumstances and does not cause undue delay or impede investigations. The request may also be subject to the organisation's compliance with certain conditions as may be considered appropriate, which may include (without limitation) sealing of cabinets, keeping business records in the same state and place as when entry into the premises was effected, suspending external emails and allowing the inspector to remain in occupation of selected offices. The PDPC may immediately effect entry into an organisation's premises if the organisation's internal legal advisor is on site or if prior written notice had been given to the organisation."
"If an organisation has certain security policies such as the prohibition of entry to those with cameras or laptops, can the organisation stop the PDPC from bringing such items into its premises?","Organisations, Enforcement
","When entering into premises under a warrant, the PDPC may take such equipment as appears to be necessary for the investigations. The PDPC would, however, consider the occupant's reasons and representations behind such security policies and may bear them in mind, as far as practicable in the circumstances, when using such equipment."
Will the complaints be investigated by the PDPC and enforcement actions be taken in every instance?,"Organisations, Enforcement
",Not all complaints will be investigated by the PDPC. The PDPC will review the complaints received and may also choose to address a complaint through alternative methods such as facilitation or mediation. Cases that fall under other legislation will be referred to the respective agencies for follow-up action.
Under what circumstances will the PDPC commence and initiate an investigation into the public's complaints?,"Organisations, Enforcement
","In general, the PDPC may commence an
investigation either upon receiving a complaint from an individual against an organisation or of its
own motion. Upon receiving a complaint or other information
that indicates that an organisation has or may have contravened the PDPA, the PDPC will
first consider:a) Whether the matter may be more appropriately resolved in the manner set out in Part II of these Guidelines, that is, by resolving the underlying dispute between the complainant and the organisation. Additionally, when a complaint relates to access and correction matters, the PDPC will generally conduct a review instead of an investigation; andb) Otherwise, the PDPC may commence an investigation into the conduct of an organisation if the PDPC considers that an investigation is warranted, based on the information it has obtained."
Under what circumstances will the PDPC refuse to conduct an investigation?,"Organisations, Enforcement
","Some of the circumstances under which the PDPC may refuse to conduct an
investigation includes, but are not limited to, the following situations:a)
The Complainant and the organisation have
mutually agreed to settle the matter; b) The Complainant has commenced legal
proceedings against the organisation in respect of the contravention or alleged
contravention of the PDPA by the organisation; orc) The
PDPC is of the opinion that the complaint is frivolous or vexatious or is not
made in good faith."
What sort of punishment will be meted out to the organisations following a conclusion of an investigation related to a data protection concern?,"Organisations, Enforcement
","The PDPC has the power to issue directions to
secure an organisationâ€™s compliance with the Data Protection Provisions as set
out in the PDPA. The directions may instruct the organisation as follows:a) To stop collecting, using or disclosing personal data in contravention of the PDPA;b)To destroy personal data collected in contravention of the PDPA;c)Comply with any direction of the PDPC concerning access and correction under the PDPA; andd) To pay a financial penalty of such amount not exceeding $1 million as the PDPC thinks fit."
Will the PDPC respond to all guidance applications?,"Organisations, Guidance
",The PDPC will assess each application and seeks to review genuine complex cases that are not covered in the published FAQs or advisory guidelines on the PDPC website. The PDPC may refer applicants to existing guidelines if the scenarios are already covered therein.
How soon can an organisation expect a response from the PDPC?,"Organisations, Guidance
","In the event that the guidance application is accepted and depending on the level of complexity or uniqueness of the issues involved, the PDPC aims to provide its response within 60 days. A longer period may be required for more complex or novel cases."
Will guidance still be available when the PDPA is fully enforced?,"Organisations, Guidance
","The goal of guidance is to provide organisations greater clarity on compliance with the PDPA. Thus, guidance will continue to be available even after the PDPA comes into full effect on 2 July 2014."
"If the PDPC has agreed to provide guidance on an organisation's practices, will its practices be considered in breach of the PDPA while awaiting PDPC's guidance on these practices?","Organisations, Guidance
","The PDPC's powers to investigate and enforce the PDPA are not fettered by the guidance process and the PDPC may commence an investigation based on information provided by the applicant, or use the information provided by the applicant in an investigation."
"If an organisation's application is selected, will it be published?","Organisations, Guidance
","The PDPC may publish all or parts of the guidance provided to allow similarly-situated organisations to also benefit from the clarity provided in guidance issued by the PDPC. However, if the organisation considers any part of the information submitted as confidential, it can set out that part of the information separately and provide an explanation as to why the information is confidential. The PDPC will take such requests into consideration and will notify the organisation in advance if it intends to publish the guidance provided."
What is the scope of the guidance?,"Organisations, Guidance
","The guidance is not legal advice or an opinion of the PDPC on the organisation's legal position. The intention of the guidance is to highlight the requirements of the PDPA and aid organisations in their review of their current personal data protection processes. An organisation should consider the matters noted by the PDPC in the guidance and decide on its preferred course of action, if necessary, with further advice from its legal advisors and other consultants."
How can an organisation follow up on a guidance query sent?,"Organisations, Guidance
",Please call our general enquiries hotline at 6377 3131 or contact us here to enquire on the status.
How can the Advisory Guidelines help organisations?,"Organisations, Advisory Guidelines
",The Advisory Guidelines (Guidelines) are sets of guidance on the manner in which the PDPC will interpret provisions of the PDPA.  These Guidelines aim to give organisations and individuals greater clarity by elaborating the specific requirements and obligations under the PDPA. The Guidelines also illustrate some good practices which organisations can consider adopting.
Will an organisation be considered compliant with the PDPA so long as it adheres to the Guidelines?,"Organisations, Advisory Guidelines
",The PDPC will take reference from the Guidelines when conducting an investigation but they are not binding on the PDPC. The PDPC will make an assessment based on the specific circumstances of the case.
Are the Guidelines considered legal advice by the PDPC?,"Organisations, Advisory Guidelines
",The Guidelines do not constitute legal advice. They are advisory in nature and are not legally binding on the PDPC or any other party.
Do I have to pay for the Guidelines?,"Organisations, Advisory Guidelines
",The Guidelines are available for download on the PDPC website free-of-charge.
"When will the PDPC issue the next set of Guidelines, and what will the Guidelines cover?","Organisations, Advisory Guidelines
",The PDPC will continually assess the need to issue guidelines to facilitate the understanding of the PDPC's interpretation of the obligations under the PDPA. Organisations and consumers responding to the consultation are welcome to highlight to the PDPC the areas in which they would like more clarity.
Where can an organisation seek help?,"Organisations, Outreach and Training
","The PDPC provides various resources to help organisations in their data protection journey, including introductory briefing sessions, BM WSQ data protection courses and informal guidance. SMEs may also look to SME Centres for further assistance. Generally, the PDPC does not conduct customised briefings and workshops for specific organisations as each organisation will have to determine its own data protection policies to meet its own business needs and to communicate these policies to their respective officers who handle personal data within the organisation."
Are the events organised by the PDPC chargeable?,"Organisations, Outreach and Training
","In general, the briefings and seminars are free-of-charge, unless otherwise stated. Registration is on a first-come-first-served basis."
Who are the target audiences for the events organised by the PDPC?,"Organisations, Outreach and Training
","C-level Management, Heads of Corporate Governance or appointed Data Protection Officers, and decision makers and key influencers of organisations' data management from all industries are encouraged to attend."
How many employees can an organisation send to attend the events?,"Organisations, Outreach and Training
","The PDPC is flexible in this aspect, as long as participants are in a data protection-related field."
What is the maximum number of participants for each event?,"Organisations, Outreach and Training
",Please refer to the relevant event for details.
How often does the PDPC organise such events?,"Organisations, Outreach and Training
","Aside from the annual seminar, the frequency of briefings is organised based on demand."
Where can the details of each event be found?,"Organisations, Outreach and Training
",The sessions and details of the events are updated on our PDPC Events page.
How can organisations be kept up to date about PDPC's outreach activities?,"Organisations, Outreach and Training
",Organisations may sign up for our RSS feeds for updates on our news and events.
Should organisations attend data protection courses offered by third parties and are these courses endorsed by PDPC?,"Organisations, Outreach and Training
","The PDPC is unable to comment on courses conducted by third parties. You should assess if the curriculum offered by third parties meet your requirements before signing up for such courses. For a list of events organised by the PDPC please visit the PDPC Events page of our website. You may also consider the two-day course,  ""Fundamentals of the Personal Data Protection Act (PDPA)"", developed under the Business Management Workforce Skills Qualifications (BM WSQ) framework and conducted by selected Approved Training Organisations."
"Who would be the target audience for the BM WSQ course ""Fundamentals of the Personal Data Protection Act (PDPA)""?","Organisations, Outreach and Training
",DPOs / Compliance Managers / Human Resource Specialists / Information Technology Personnel / Marketing Professionals / Sales and Business Development Executives or Managers / Telemarketers / Office Administrators.
How is the WSQ PDPA course different from other PDPA trainings organised by other training providers?,"Organisations, Outreach and Training
",Trainings conducted by other training providers outside of the list will not be using the curriculum that PDPC has developed under the WSQ framework.  These training sessions may not be eligible for funding by SkillsFuture Singapore. Organisations should assess and choose the training sessions that best suit their organisations' needs.
"How much does the BM WSQ PDPA course cost with, and without subsidy? How long is each course?","Organisations, Outreach and Training
","There is no fixed fee - each training provider may price its course independently. Singaporeans and Permanent Residents attending the WSQ PDPA course will be eligible for course fee funding. In addition, companies will also be eligible for absentee payroll if they support their employees for the WSQ PDPA course.  Interested parties may refer to the individual training provider's website for details or for enquiries."
Where can I get more information on the course?,"Organisations, Outreach and Training
","You maycheck outour website on Help for Organisationsfor more information on the course, the list of approved training providers, and their contact information."
What is the PDPA E-learning Programme for?,"Organisations, Outreach and Training
",The PDPA E-learning Programme provides a convenient alternative platform for organisations to learn the basics about their personal data protection obligations under the PDPA. The E-learning modules are free-of-charge and can be accessed here.
Who can take the PDPA E-learning Programme Assessment Module?,"Organisations, Outreach and Training
","While the Assessment Module is designed for organisations and their employees to assess their knowledge of the application of the PDPA, any website visitor may take the assessment if they wish to."
Is there a passing score for the Assessment Module?,"Organisations, Outreach and Training
",There is no passing score for individuals taking the assessment. Organisations with a Corporate Account may prescribe their own benchmark on employees taking the assessment.
Can the Assessment Module be taken more than once by the same user?,"Organisations, Outreach and Training
","There is no restriction to the number of times a user may take the assessment. To re-take, users may simply close the module window and access the Assessment Module from the PDPC website again."
Who can apply for the PDPA E-learning Programme Corporate Account and how much does it cost?,"Organisations, Outreach and Training
",The Corporate Account is offered free-of-charge and any registered organisation may apply for it. More details can be found here.
Is it mandatory for a DPO to develop the competencies and attend training?,"Organisations, Outreach and Training
","The list of competencies under the PDPC's DPO Competency Framework and Training Roadmap are not mandatory for the DPO. It serves to guide data protection professionals in enhancing their knowledge and capabilities, in order to effectively fulfil their role and responsibilities."
Do DPOs need to go for certification to be recognised by the PDPC as a qualified DPO?,"Organisations, Outreach and Training
","The PDPC does not require that a DPO must obtain a Data Protection certification or be trained to be a qualified DPO. However, the PDPC encourages all DPOs to have or acquire certain competencies to effectively fulfil their role and responsibilities."
Which competencies are important for a DPO?,"Organisations, Outreach and Training
","The PDPC has identified 6 data protection-related competencies, in consultation with industry, that are important for DPOs to strengthen their capabilities, such as internal risk management and data governance."
Which competency should a DPO begin with?,"Organisations, Outreach and Training
","For a new entrant or an existing practitioner with little knowledge of the PDPA, the DPO should start with Data Protection Management."
Is there a certain sequence to the competency framework that DPOs have to follow?,"Organisations, Outreach and Training
","The DPO Competency Framework is designed to allow data protection professionals toidentify their competency gaps and attend the relevant training courses to acquire the knowledge and capabilities. Generally, a DPO should prioritise and focus on the competencies which will enable him/her to perform his/her role effectively."
Does a DPO need to know all the competencies within the DPO competency framework?,"Organisations, Outreach and Training
","The framework isa guide for data protection professionals to build their competencies and upskill themselves to stay relevant. For a start, a DPO should focus on selected competencies and progressively develop new competencies over time as the job function expands."
Why are data innovation-related competencies relevant to a DPO?,"Organisations, Outreach and Training
",Organisations are increasingly leveraging data as a strategic asset to deliver new and improved products and services. A competent DPO will be able to assist the organisation in using data responsibly to support innovation and gain a competitive advantage to maximise data sharing partnerships while ensuring trust and accountability.
How can an organisation make use of the DPO Competency Framework to hire DPOs?,"Organisations, Outreach and Training
","For business owners and HR managers, the DPO Competency Framework can help them decide how to structure their data protection functions and make hiring decisions. There are also baseline descriptions of tasks for them to better understand the different job functions of a DPO."
I would like to have my organisation listed on the PDPC website as one of the Data Protection (DP) service providers. What should I do?,"Organisations, Listing of DP Services
","You may submit your request online. Once the submission is successful, an acknowledgement email will be sent to the email address provided."
Are there any requirements that I need to fulfil before I can add my organisation to the list?,"Organisations, Listing of DP Services
",Your organisation must have:a local office in Singapore;appointed a DPO and the DPO's contact details are publicly available; andrelevant experience/track record in the service offering (as stated in the online form) that you are requesting to be listed for.The PDPC reserves the right not to list your organisation and its service offering if it does not fulfil the above requirements.
Is there any cost (eg. processing fee) involved?,"Organisations, Listing of DP Services
",There is no fee involved to process your request to be listed on or delisted from the PDPC website.
Can I list several of my organisation's service offerings?,"Organisations, Listing of DP Services
",You may request to list multiple offerings by providing the relevant information for each of the service offerings in your request submission.
How can I update information regarding my organisation's service offering?,"Organisations, Listing of DP Services
",You may email us at industry@pdpc.gov.sg should you wish to update your organisation's service offering.
How can I list my law firm under the DP Legal Services section?,"Organisations, Listing of DP Services
",The list of law firms that provide personal data protection legal services in this section is obtained from the Law Society of Singapore's website. You may wish to register with the Law Society of Singapore.
Can I request to list other DP-related services that are currently not part of the pre-defined categories?,"Organisations, Listing of DP Services
",You may email us at industry@pdpc.gov.sg with the following information for our consideration:Unique Entity Number (UEN)Name of organisationName of contact personContact numberEmail addressType of DP service offeringDescription of the service offeringWebsite (URL specific to the service offering)
Will my clients' details that I provide as part of my submission be published on the PDPC website?,"Organisations, Listing of DP Services
","No, the information provided will only be used to facilitate our assessment and will not be published."
Will organisations in Singapore need to comply with the European Union General Data Protection Regulation (EU GDPR)?,"Organisations, EU GDPR
","The EU GDPR may apply to organisations in Singapore if they offer goods or services to individuals in the EU or monitor the behavior of individuals in the EU. Factors such as the use of a language or a currency generally used in one or more EU Member States with the possibility of ordering goods and services in that other language, or the mentioning of customers or users who are in the EU, may make it apparent that the organisation envisages offering goods or services to individuals in the EU."
Does compliance with Singapore's Personal Data Protection Act (PDPA) equate to compliance with the EU GDPR?,"Organisations, EU GDPR
","Compliance with the PDPA does not necessarily mean the organisation is in compliance with the EU GDPR, as there are differing requirements under the two regimes."
What do organisations need to do to comply with the EU GDPR?,"Organisations, EU GDPR
","The European regulators have provided guidance on how to comply with the EU GDPR. Organisations may refer to the resources issued by the European regulators on the EU GDPR requirements(eg. https://ec.europa.eu/info/law/law-topic/data-protection_en), or seek professional legal advice on compliance with the EU GDPR where necessary.PDPC's factsheet on the EU GDPR, which highlights the key requirements of the EU GDPR, may be useful for organisations' information. The factsheet is available here."
What is the Data Protection Trustmark (DPTM) certification?,"Organisations, Data Protection Trustmark
",The DPTM is a voluntary enterprise-wide certification that requires organisations to demonstrate that they are able to meet the obligations of the PDPA and have achieved a robust data governance standard. A DPTM certification will help businesses increase their competitive advantage and build trust with their clients. The DPTM will be a visible indicator that an organisation adopts sound data protection practices.It is administered by the Infocomm Media Development Authority (IMDA).
What is the period of validity for the DPTM certification?,"Organisations, Data Protection Trustmark
",The DPTM certification is valid for three years and organisations will need to apply for re-certification before its expiry.
Is DPTM recognised overseas?,"Organisations, Data Protection Trustmark
","The DPTM is a local certification scheme. Depending on regional developments, the PDPC may explore mutual recognition of similar certifications with other countries."
Where can I find out more about applying for DPTM?,"Organisations, Data Protection Trustmark
",The DPTM is administered by the Infocomm Media Development Authority (IMDA). Please visit the IMDA website to find out more.
What is 'personal data'?,"Individuals, General
","Personal data refers to data, whether true or not, about an individual who can be identified from that data; or from that data and other information to which the organisation has or is likely to have access.This includes unique identifiers (e.g. NRIC number, passport number); as well as any set of data (e.g. name, age, address, telephone number, occupation, etc), which when taken together would be able to identify the individual. For example, Jack Lim, 36 years old, civil servant, lives at Blk 123 Bishan St 23."
When did the PDPA come into force?,"Individuals, General
","The PDPA was implemented in phases to allow time for organisations to adjust to the new law. The Do Not Call (DNC) Registry provisions came into force on 2 January 2014 and the personal data protection provisions came into force on 2 July 2014. The data protection provisions govern the collection, use and disclosure of personal data by organisations. In brief, the PDPA contains three main sets of data protection obligations:Obligations relating to notification, consent and purposeOrganisations must notify their purposes and obtain consent from individuals for the collection, use and disclosure of individuals' personal data.Obligations relating to compliance, accountability and access and correction Organisations must make information available about their data protection policies, appoint a data protection officer, give individuals access to their personal data (upon request) and allow individuals to correct their personal data (also upon request).Obligations relating to safeguarding personal data Organisation must: (i) comply with prescribed requirements when transferring personal data outside Singapore; (ii) use reasonable measures to protect personal data; (iii) make reasonable effort to ensure the accuracy of personal data; and (iv) cease to retain personal data when no longer required.The PDPA also provides for the establishment of a DNC Registry. The DNC Registry allows individuals to register their Singapore telephone numbers to opt out of receiving marketing phone calls, mobile text messages such as SMS or MMS, and faxes from organisations. You may refer to our website for more information on the data protection and DNC provisions."
What are the objectives of the PDPA?,"Individuals, General
","The PDPA aims to safeguard individuals' personal data against misuse by regulating the proper management of personal data. Generally, individuals have the right to be informed of the purposes for which organisations are collecting, using or disclosing their personal data, giving them more control over how their personal data is used.The PDPA also aims to enhance Singapore's competitive advantages as a location for data hosting and management activities by strengthening Singapore's reputation as a secure location for data and giving assurance to businesses looking for safeguards to protect sensitive data sets."
How does the PDPA benefit me?,"Individuals, General
","The law will ensure that organisations put in place safeguards to protect your personal data.  Organisations will generally be required to obtain consent for the collection, use and disclosure of personal data for their intended purposes, giving you more control over how your personal data is used."
How is the PDPA different from the Spam Control Act?,"Individuals, General
","The Spam Control Act (SCA) sets out a framework to manage unsolicited commercial electronic messages sent in bulk through electronic mail, text and multimedia messaging, otherwise known as ""spam"". The SCA requires organisations to, among others, provide an unsubscribe facility within the spam message and include a header in the subject field of the message or where there is no subject field, as the first words in the message.While the SCA manages the sending of spam messages, the PDPA sets out rules governing the proper collection, use and disclosure of personal data, which would include contact information of an individual. Under the PDPA, organisations are required to obtain consent for a stated purpose to collect, use or disclose the personal data of an individual, and safeguard such data, unless exceptions apply.In addition, the provisions relating to the DNC Registry in the PDPA allow individuals to opt out of marketing messages (voice calls, SMS/MMS or fax) delivered to a Singapore telephone number. Organisations are generally prohibited from sending marketing messages to Singapore telephone numbers registered with the DNC Registry unless they have obtained clear and unambiguous consent in written or other accessible form from the user/subscriber to the sending of the message, or if the organisation can rely on the Personal Data Protection (Exemption from Section 43) Order 2013 or any other exclusions. In relation to the sending of spam messages, the PDPA applies to the collection, use and disclosure of individuals' contact information for such purposes, while the SCA governs the manner in which the spam message may be sent. These frameworks will operate concurrently."
What is 'deemed' consent?,"Individuals, General
","An individual is deemed to consent to the collection, use or disclosure of personal data by an organisation if the individual voluntarily provides the personal data to the organisation for that purpose; and it is reasonable that he or she would do so.For example, an individual seeking medical treatment from a medical facility, such as a clinic or hospital, would voluntarily provide his or her personal data for such a purpose. He or she would be deemed to have consented to the collection and use of his or her personal data by the medical facility for that purpose."
What should organisations and individuals take note of in complying with withdrawal of consent requirements?,"Individuals, General
","There
are a number of requirements that both individuals and organisations need to
take note of. Some of these are: ·The individual must
give reasonable notice of the withdrawal to the organisation. As a general rule of
thumb, ten business days is considered to be reasonable notice.·On receipt of the
notice, the organisation must inform the individual of the likely consequences
of withdrawing consent. Consequences for withdrawal of consent could simply be
that the organisation would cease to collect, use or disclose the individual’s
personal data for the purpose specified by the individuals. However, if there
are other likely consequences, the organisation must also inform the individual
of those.·An organisation must
not prohibit an individual from withdrawing consent, although this does not
affect any legal consequences arising from such withdrawal.·Upon withdrawal of
consent, the organisation must cease (and cause its data intermediaries and agents
to cease) collecting, using or disclosing the personal data, as the case may
be, unless the collection, use or disclosure of the personal data without
consent is required or authorised under the PDPA or any other written law.Organisations
may provide in their marketing messages a facility for individuals to withdraw
their consent (e.g. by clicking on an “unsubscribe” link within an e-mail).
Organisations are encouraged to clearly indicate the scope of the withdrawal in
such instances. Organisations are also encouraged to inform individuals of how
they may withdraw consent for matters outside the scope of such withdrawal.In
some cases, individuals may provide organisations a general withdrawal notice
for marketing, i.e. it is not clear as to the channel of receiving marketing
messages for which consent is withdrawn. In such cases, the PDPC would consider
that any withdrawal of consent for marketing sent via a particular channel will
be considered to only apply to all messages relating to the withdrawal sent via
that channel."
What constitutes 'acting in personal or domestic capacity'?,"Individuals, General
","These are purposes to do with an individual's personal, family or household affairs. For example, when an individual keeps a database of his or her friends' and relatives' names, addresses, contact numbers and birthdates for his or her own personal use, he or she is considered to be acting in a personal or domestic capacity. His or her keeping of the database will not be covered under the PDPA."
What is 'business contact information'?,"Individuals, General
","Business contact information (BCI) refers to an individual's name, position name or title, business telephone number, business address, business electronic mail address or business fax number and any other similar information about the individual, not provided by him or her solely for personal purposes.Based on the above definition, BCI is excluded from the data protection provisions of the PDPA. Separately, the DNC provisions generally apply to all Singapore telephone numbers, unless  the organisation has obtained clear and unambiguous consent in written or other accessible form from the user/subscriber to the sending of the telemarketing message, or if the organisation can rely on the Personal Data Protection (Exemption from Section 43) Order 2013 or any other exclusions."
What can I do to protect my personal data?,"Individuals, General
","By being careful about how you manage your personal data, you can limit any potential risks of the misuse of your data. Some tips for protecting your personal data would include thinking about who you give your personal data to and why, being cautious about providing personal details to unsolicited callers, etc. Download a copy of our consumer handbook for tips to protect your personal data."
What can I do if there is a breach?,"Individuals, General
","If you come across a potential breach under the PDPA, you may contact the relevant organisation for clarifications. For further assistance, you may contact the PDPC at 6377 3131 or provide your feedback through our online form."
What can I expect from the PDPC with regard to my enquiry?,"Individuals, General
","The PDPC providesonly general information and clarification to enquiries. It is important to note that the PDPC does not provide legal or specific advice to your enquiry that may require a certain standard or decision from thePDPC to be made. Our response to your query is not asubstitute for legal advice, and is not legally binding on the PDPC or any other party. You may wish to engage independent legal advice if you are in doubt."
"Do organisations need to seek my consent before collecting, using and disclosing my personal data?","Individuals, Collection, Use, & Disclosure
","Organisations must obtain your consent to the collection, use or disclosure of your personal data, unless any exception under the PDPA applies. You may refer to the Second, Third and Fourth Schedules of the PDPA for a list of exceptions. You should also be notified of the purposes for the collection, use and disclosure of your personal data. In this regard, organisations shall not, as a condition of supplying a product or service, require you to consent to the collection, use or disclosure of personal data beyond what is reasonable to provide the product or service. For example, an organisation that sells a consumer product should not require you to reveal your annual household income as a condition of selling you the product, although it may still ask you to provide such personal data as an optional field.If the organisation wishes to collect any additional personal data, the organisation should provide you the option of whether to consent to this."
What can an organisation do with my personal data that is collected before the effective date of the data protection rules on 2 July 2014?,"Individuals, Collection, Use, & Disclosure
","Generally, organisations may continue to use the personal data collected prior to the effective date of the data protection rules, unless you withdraw your consent (if consent had previously been given) or indicate that you do not consent to such use of the personal data.  Consent will need to be obtained if the existing data is to be used for a new purpose different from the purpose for which it was collected, or if the existing data is to be disclosed to another organisation or individual, unless any exception applies. These exceptions are set out in the Second, Third and Fourth Schedules of the PDPA respectively. This includes exceptions catering to certain emergency situations, investigations, publicly available data or where the personal data is used for evaluative purposes.For example, if a company has been using your personal data to provide after-sales customer support prior to the PDPA, it can continue to do so after the PDPA comes into effect, even if it did not obtain consent previously. However, if it now intends to use the same personal data for direct marketing where it had not collected the personal data for this purpose, consent will need to be obtained for such a purpose. If the organisation wishes to use the personal data for telemarketing, it will separately have to ensure compliance with the DNC provisions under the PDPA. Generally, organisations may continue to use the personal data that was collected prior to the effective date of the data protection rules, for the reasonable purposes for which the personal data was collected."
Can the security guard of a private property estate or office building request for and collect the personal data (e.g. NRIC) of visitors before they enter the premises?,"Individuals, Collection, Use, & Disclosure
","Generally, the security guard should inform visitors of the purposes for the collection, use and disclosure of their personal data and obtain their consent. Even if the visitor does not expressly consent, if the visitor has been informed that his personal data is required for a particular purpose (for example, security purposes for entry into the premises), and he voluntarily provides the data, the visitor may be deemed to have given his consent to the collection, use or disclosure of his personal data for that purpose.The PDPA requires (amongst other things) that an organisation only collects, uses or discloses personal data for purposes that a reasonable person would consider appropriate in the circumstances and also make reasonable security arrangements to protect personal data collected in order to prevent unauthorised access, collection, use, disclosure, copying, modification, disposal or similar risks."
Can I request access to my personal data held by an organisation?,"Individuals, Access & Correction
","You may request access to your personal data held by an organisation. However, there are exceptions such as legal professional privilege information and opinion data kept solely for evaluative purpose, among others. You may refer to the Fifth Schedule in the PDPA for the list of exceptions from the access requirement.In addition, organisations are prohibited from providing you access to the personal data if:it causes immediate or grave harm to your safety or physical or mental health; it threatens the safety or physical or mental health of another individual; it reveals personal data about another individual; it reveals the identity of the individual who has provided the personal data about you, and the individual has not consented to the disclosure of his or her identity; or it is contrary to national interest."
Can organisations charge a fee for my access request?,"Individuals, Access & Correction
","Organisations may charge a reasonable fee for access to personal data about an individual, to allow them to recover the incremental costs of responding to the access request. An example of such incremental cost is the cost of producing a physical copy of the personal data for an individual requesting it.  As organisations are required to make the necessary arrangements to provide for standard types of access requests, the costs incurred in capital purchases (for example, purchasing new equipment to provide access to the requested personal data) should not be transferred to individuals. The fee should also accurately reflect the time and effort required to respond to the request."
Can I request to correct my personal data held by an organisation?,"Individuals, Access & Correction
","You may request to correct an error or omission in the personal data an organisation holds about you. An organisation need not make a correction where it is satisfied on reasonable grounds that a correction should not be made. In this case, the organisation shall annotate the personal data in its possession or under its control with the correction that is requested but not made.  The organisation is generally required to send the corrected personal data to every other organisation to which the personal data was disclosed to within a year before the correction, unless the other organisation does not need the corrected personal data for any legal or business purpose, or if you have consented to the sending of corrected data only to specific organisations.  There are also exceptions to the correction requirement, such as if the personal data is opinion data kept solely for evaluative purposes. The list of exceptions may be found in the Sixth Schedule of the PDPA."
Can organisations charge a fee for my correction request?,"Individuals, Access & Correction
",Organisations are not entitled to impose a fee for the correction of personal data as required under the PDPA.
How long can an organisation retain my personal data?,"Individuals, Care of Personal Data
","The PDPA does not prescribe the retention period. However, an organisation shall cease to retain personal data as soon as the purpose of collection is no longer necessary for business or legal purposes."
Can I ask an organisation to delete my personal data from their records?,"Individuals, Care of Personal Data
","You may inform an organisation to stop collecting, using or disclosing your personal data at any time. However, the organisation is not required to delete or destroy your personal data and may retain it as long as there are business or legal needs."
How will the PDPA apply to my personal data overseas?,"Individuals, Care of Personal Data
","The PDPA applies to all personal data collected, used or disclosed in Singapore. As such, organisations that collect personal data overseas and host and/or process it in Singapore will still be subject to relevant obligations under the PDPA from the point that such personal data is brought into Singapore. For organisations that collect personal data here and transfer such data overseas, the PDPA requires that measures be put in place by the organisation here transferring the personal data, to provide a comparable standard of protection overseas. These measures include the use of contractual agreements among the organisations involved in the transfer, among others."
How can I ensure that an organisation has proper safeguards and measures in place to protect personal data in its care?,"Individuals, Care of Personal Data
","Organisations are required to make information about their personal data protection policies, practices and complaints processes available on request. In addition, organisations are required to publicly provide the business contact information of at least one person in the organisation to answer any personal data related queries or complaints.If you have concerns about how your personal data is being handled, you may approach the respective organisation to provide clarity on their data protection policies and practices."
"When can organisations collect, use or disclose my NRIC number (or copy of my NRIC)?","Individuals, NRIC Numbers
","Organisations are generally not allowed to collect, use or disclose your NRIC number (or copy of your NRIC). They may do so only if it is required under the law (or an exception under the PDPA applies) or necessary to accurately establish or verify your identity to a high degree of fidelity."
